area_name,path,us_state,url,lnglat
Palisades-Dows Preserve,Palisades Kepler State Park|Palisades-Dows Preserve,Iowa,https://www.mountainproject.com/area/113690461/palisades-dows-preserve,"[-91.51688, 41.90201]"
Outlook,Palisades Kepler State Park|Outlook,Iowa,https://www.mountainproject.com/area/106404872/outlook,"[-91.51209, 41.90999]"
Orlando Buttress (Four Points),Palisades Kepler State Park|Orlando Buttress (Four Points),Iowa,https://www.mountainproject.com/area/113486569/orlando-buttress-four-points,"[-91.5096, 41.90355]"
Old Quaker Area,Palisades Kepler State Park|Old Quaker Area,Iowa,https://www.mountainproject.com/area/112317949/old-quaker-area,"[-91.51088, 41.91076]"
"Last Portage, The","Palisades Kepler State Park|Last Portage, The",Iowa,https://www.mountainproject.com/area/120786185/the-last-portage,"[-91.50883, 41.90325]"
Golden Arches,Palisades Kepler State Park|Golden Arches,Iowa,https://www.mountainproject.com/area/106415726/golden-arches,"[-91.5084, 41.9085]"
City of Copper,Palisades Kepler State Park|City of Copper,Iowa,https://www.mountainproject.com/area/106847563/city-of-copper,"[-91.5084, 41.9085]"
Boat Ramp Boulder (Roadside Attraction?),Palisades Kepler State Park|Boat Ramp Boulder (Roadside Attraction?),Iowa,https://www.mountainproject.com/area/106506229/boat-ramp-boulder-roadside-attraction,"[-91.5084, 41.9085]"
Wild Iowa Wall,Pictured Rocks|Wild Iowa Wall,Iowa,https://www.mountainproject.com/area/106087032/wild-iowa-wall,"[-91.10185, 42.20952]"
"Waystation, The","Pictured Rocks|Waystation, The",Iowa,https://www.mountainproject.com/area/112329139/the-waystation,"[-91.10119, 42.21523]"
T-Wall,Pictured Rocks|T-Wall,Iowa,https://www.mountainproject.com/area/113222957/t-wall,"[-91.10334, 42.2079]"
Shiprock,Pictured Rocks|Shiprock,Iowa,https://www.mountainproject.com/area/106087947/shiprock,"[-91.10261, 42.21218]"
Razorblade Boulder,Pictured Rocks|Razorblade Boulder,Iowa,https://www.mountainproject.com/area/106087210/razorblade-boulder,"[-91.10151, 42.2103]"
A Wall,Pictured Rocks|A Wall,Iowa,https://www.mountainproject.com/area/106087239/a-wall,"[-91.10204, 42.21089]"
EIU Campus,EIU Campus,Illinois,https://www.mountainproject.com/area/121787483/eiu-campus,"[-88.17556, 39.47865]"
F. The Promised Land,*Jackson Falls|F. The Promised Land,Illinois,https://www.mountainproject.com/area/106920435/the-promised-land,"[-88.69384, 37.49884]"
"Woodland Ledge, The","Draper's Bluff|Woodland Ledge, The",Illinois,https://www.mountainproject.com/area/112875180/the-woodland-ledge,"[-89.04276, 37.51501]"
Sunny Side,Cove Hollow|Sunny Side,Illinois,https://www.mountainproject.com/area/107286267/sunny-side,"[-89.2999, 37.6403]"
Union Pacific Traverse,Chicago Area|Union Pacific Traverse,Illinois,https://www.mountainproject.com/area/119335613/union-pacific-traverse,"[-87.67492, 41.88892]"
H: The Lunkers,"Beach, The|H: The Lunkers",Illinois,https://www.mountainproject.com/area/109211811/the-lunkers,"[-89.51193, 37.67462]"
Z: Cliffline Trad,*The Holy Boulders|Z: Cliffline Trad,Illinois,https://www.mountainproject.com/area/111201977/cliffline-trad,"[-89.41054, 37.61666]"
Christmas Area,Lehigh Park|Christmas Area,Illinois,https://www.mountainproject.com/area/118179730/christmas-area,"[-89.05531, 41.29991]"
*A: House Boulders,House Boulders|*A: House Boulders,Illinois,https://www.mountainproject.com/area/121688780/house-boulders,"[-89.40812, 37.60995]"
Warm-Up Wall,"Graveyard, The|Warm-Up Wall",Illinois,https://www.mountainproject.com/area/109345942/warm-up-wall,"[-89.50903, 37.78206]"
Yosemite Slab,*Jackson Falls|Z. Bouldering in the Canyon Proper|Yosemite Slab,Illinois,https://www.mountainproject.com/area/119901279/yosemite-slab,"[-88.68419, 37.50632]"
New Sub-Area 2,*Jackson Falls|Z. Bouldering in the Canyon Proper|New Sub-Area 2,Illinois,https://www.mountainproject.com/area/119901282/new-sub-area-2,"[-88.68419, 37.50632]"
Rock City,Z: Closed Areas|Rock City,Illinois,https://www.mountainproject.com/area/116192353/rock-city,"[-90.30903, 38.30379]"
G: Perschbacher Boulder,Dixon Springs State Park|Picnic Area Boulderfield|G: Perschbacher Boulder,Illinois,https://www.mountainproject.com/area/118898175/perschbacher-boulder,"[-88.66982, 37.38574]"
