area_name,path,us_state,url,lnglat
Hanging Garden,"Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Crack Garden, The|Hanging Garden",Alaska,https://www.mountainproject.com/area/112043883/hanging-garden,"[-149.20896, 61.81717]"
Garden Party Buttress,"Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Crack Garden, The|Garden Party Buttress",Alaska,https://www.mountainproject.com/area/111999954/garden-party-buttress,"[-149.20863, 61.81724]"
"Crack Garden, The","Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Crack Garden, The|Crack Garden, The",Alaska,https://www.mountainproject.com/area/111999973/the-crack-garden,"[-149.20903, 61.81689]"
Slab salad,Fairbanks and Vicinity|Yukon River/Rapids area|Slab salad,Alaska,https://www.mountainproject.com/area/119682012/slab-salad,"[-151.17526, 65.26338]"
trailside boulder,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Reed Lakes Bouldering|Lower Reed Lake Boulders|trailside boulder,Alaska,https://www.mountainproject.com/area/109419040/trailside-boulder,"[-149.16215, 61.83874]"
Nugget Boulder,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Reed Lakes Bouldering|Lower Reed Valley Bouldering|Nugget Boulder,Alaska,https://www.mountainproject.com/area/109126377/nugget-boulder,"[-149.18261, 61.82295]"
Ryan’s Wall,Kenai Peninsula Rock and Ice|Skilak Lake|Ryan’s Wall,Alaska,https://www.mountainproject.com/area/117519011/ryans-wall,"[-150.28025, 60.45397]"
"Prow Area, The","Kenai Peninsula Rock and Ice|Skilak Lake|Prow Area, The",Alaska,https://www.mountainproject.com/area/106464603/the-prow-area,"[-150.0732, 60.2125]"
Bill's hill,Kenai Peninsula Rock and Ice|Woznesensky Glacier|Bill's hill,Alaska,https://www.mountainproject.com/area/108259963/bills-hill,"[-151.0269, 59.50507]"
Penny River Boulders,Seward Peninsula|Nome-Teller Highway Bouldering|Penny River Boulders,Alaska,https://www.mountainproject.com/area/119631187/penny-river-boulders,"[-165.67631, 64.60371]"
Kiliak Wall,Anchorage & South Central Alaska|Eagle River|Kiliak Wall,Alaska,https://www.mountainproject.com/area/108339771/kiliak-wall,"[-149.24977, 61.21059]"
"Frostbite Boulders- Anchorage, AK","Anchorage & South Central Alaska|Eagle River|Frostbite Boulders- Anchorage, AK",Alaska,https://www.mountainproject.com/area/106436706/frostbite-boulders-anchorage-ak,"[-149.25389, 61.21034]"
