area_name,path,us_state,url,lnglat
C) Tomb Stone,Hospital Boulders|Water Tower Area|C) Tomb Stone,Alabama,https://www.mountainproject.com/area/121726720/c-tomb-stone,"[-86.01911, 34.0761]"
B) Dab Machine,Hospital Boulders|Water Tower Area|B) Dab Machine,Alabama,https://www.mountainproject.com/area/121726748/b-dab-machine,"[-86.0191, 34.07594]"
A) Chutes and Ladders,Hospital Boulders|Water Tower Area|A) Chutes and Ladders,Alabama,https://www.mountainproject.com/area/121726730/a-chutes-and-ladders,"[-86.01906, 34.07606]"
Spirit Area,Horse Pens 40|Spirit Area,Alabama,https://www.mountainproject.com/area/107367447/spirit-area,"[-86.30788, 33.92092]"
Roadside Boulders/Cadillac Thrills Boulder,Horse Pens 40|Roadside Boulders/Cadillac Thrills Boulder,Alabama,https://www.mountainproject.com/area/118272556/roadside-boulderscadillac-thrills-boulder,"[-86.30839, 33.92134]"
Point Boulders (Redneck Boulder),Horse Pens 40|Point Boulders (Redneck Boulder),Alabama,https://www.mountainproject.com/area/111663596/point-boulders-redneck-boulder,"[-86.31115, 33.9199]"
Point Boulders (Highlife Boulder),Horse Pens 40|Point Boulders (Highlife Boulder),Alabama,https://www.mountainproject.com/area/111400091/point-boulders-highlife-boulder,"[-86.3108, 33.91986]"
Point Boulders (Eight Ball Boulder),Horse Pens 40|Point Boulders (Eight Ball Boulder),Alabama,https://www.mountainproject.com/area/111400079/point-boulders-eight-ball-boulder,"[-86.31075, 33.91987]"
Point Boulders (Crown Boulder),Horse Pens 40|Point Boulders (Crown Boulder),Alabama,https://www.mountainproject.com/area/111400232/point-boulders-crown-boulder,"[-86.31089, 33.9198]"
Mulletino Boulder.,Horse Pens 40|Mulletino Boulder.,Alabama,https://www.mountainproject.com/area/107366734/mulletino-boulder,"[-86.30755, 33.92089]"
Mortal Combat Area/ Mortal Combat boulders,Horse Pens 40|Mortal Combat Area/ Mortal Combat boulders,Alabama,https://www.mountainproject.com/area/107370335/mortal-combat-area-mortal-combat-boulders,"[-86.249, 33.9294]"
Mortal Combat Area/ Light Post Boulders,Horse Pens 40|Mortal Combat Area/ Light Post Boulders,Alabama,https://www.mountainproject.com/area/107370149/mortal-combat-area-light-post-boulders,"[-86.249, 33.9294]"
"Middle/ Flow Area, The","Horse Pens 40|Middle/ Flow Area, The",Alabama,https://www.mountainproject.com/area/107409381/the-middle-flow-area,"[-86.30882, 33.92065]"
Kiss boulders,Horse Pens 40|Kiss boulders,Alabama,https://www.mountainproject.com/area/107370074/kiss-boulders,"[-86.249, 33.9294]"
Hang Loose Area,Horse Pens 40|Hang Loose Area,Alabama,https://www.mountainproject.com/area/107368521/hang-loose-area,"[-86.249, 33.9294]"
HP Canyon,Horse Pens 40|HP Canyon,Alabama,https://www.mountainproject.com/area/108475590/hp-canyon,"[-86.30872, 33.92026]"
Flat Roof Boulder,Horse Pens 40|Flat Roof Boulder,Alabama,https://www.mountainproject.com/area/111547302/flat-roof-boulder,"[-86.3102, 33.92032]"
Deck Area/Front Slabs,Horse Pens 40|Deck Area/Front Slabs,Alabama,https://www.mountainproject.com/area/107366748/deck-areafront-slabs,"[-86.249, 33.9294]"
Lower Area,Hospital Boulders|Lower Area,Alabama,https://www.mountainproject.com/area/112428119/lower-area,"[-86.01718, 34.07656]"
Uniball Area,Horse Pens 40|Slider Boulders|Uniball Area,Alabama,https://www.mountainproject.com/area/111663640/uniball-area,"[-86.31074, 33.91979]"
"Slider Boulder, The","Horse Pens 40|Slider Boulders|Slider Boulder, The",Alabama,https://www.mountainproject.com/area/108029340/the-slider-boulder,"[-86.23849, 33.93994]"
"Lady Slipper Boulder, The","Horse Pens 40|Slider Boulders|Lady Slipper Boulder, The",Alabama,https://www.mountainproject.com/area/108029415/the-lady-slipper-boulder,"[-86.23849, 33.93994]"
Eddie Area,Hospital Boulders|Eddie Area,Alabama,https://www.mountainproject.com/area/112428114/eddie-area,"[-86.01774, 34.07685]"
Barn Area,Hospital Boulders|Barn Area,Alabama,https://www.mountainproject.com/area/112428108/barn-area,"[-86.01818, 34.07677]"
Toomsuba,Little River Canyon|Toomsuba,Alabama,https://www.mountainproject.com/area/113938696/toomsuba,"[-85.65656, 34.36397]"
Spider Wall,Little River Canyon|Spider Wall,Alabama,https://www.mountainproject.com/area/114324063/spider-wall,"[-85.66846, 34.35929]"
Ninja Wall,Little River Canyon|Ninja Wall,Alabama,https://www.mountainproject.com/area/112787009/ninja-wall,"[-85.6725, 34.33722]"
Lynn Overlook,Little River Canyon|Lynn Overlook,Alabama,https://www.mountainproject.com/area/118586540/lynn-overlook,"[-85.62868, 34.38277]"
Skywalker Area,"Horse Pens 40|Middle, The|Skywalker Area",Alabama,https://www.mountainproject.com/area/112418067/skywalker-area,"[-86.30913, 33.92051]"
Out of the Box area,"Horse Pens 40|Middle, The|Out of the Box area",Alabama,https://www.mountainproject.com/area/117742739/out-of-the-box-area,"[-86.30885, 33.92042]"
Lizard Wall,Little River Canyon|Lizard Wall,Alabama,https://www.mountainproject.com/area/112844495/lizard-wall,"[-85.67018, 34.3588]"
Jungle Gym/Grey Wall,Little River Canyon|Jungle Gym/Grey Wall,Alabama,https://www.mountainproject.com/area/112786034/jungle-gymgrey-wall,"[-85.66088, 34.3655]"
Grace Falls,Little River Canyon|Grace Falls,Alabama,https://www.mountainproject.com/area/114324148/grace-falls,"[-85.66846, 34.35929]"
"Concave, The","Little River Canyon|Concave, The",Alabama,https://www.mountainproject.com/area/112396146/the-concave,"[-85.63084, 34.37859]"
Brandnewbia,Little River Canyon|Brandnewbia,Alabama,https://www.mountainproject.com/area/116089803/brandnewbia,"[-85.67626, 34.3577]"
Novak Area,Moss Rock Preserve|Novak Area,Alabama,https://www.mountainproject.com/area/106392029/novak-area,"[-86.84258, 33.38242]"
Lost Roof Area,Moss Rock Preserve|Lost Roof Area,Alabama,https://www.mountainproject.com/area/105982639/lost-roof-area,"[-86.84292, 33.38143]"
Grass Man Area,Moss Rock Preserve|Grass Man Area,Alabama,https://www.mountainproject.com/area/106102718/grass-man-area,"[-86.84141, 33.38188]"
"Bolt Boulder, The","Moss Rock Preserve|Bolt Boulder, The",Alabama,https://www.mountainproject.com/area/118105548/the-bolt-boulder,"[-86.84274, 33.38154]"
