area_name,path,us_state,url,lnglat
Back of Beyond Area,CT Bouldering|Westwoods (Cockaponset State Forest)|Back of Beyond Area,Connecticut,https://www.mountainproject.com/area/107129506/back-of-beyond-area,"[-72.70947, 41.27605]"
Interstate Homeless Camp,CT Bouldering|Westwoods (Cockaponset State Forest)|Granite Road area|Interstate Homeless Camp,Connecticut,https://www.mountainproject.com/area/106689237/interstate-homeless-camp,"[-72.7432, 41.2965]"
High Energy Area,CT Bouldering|Westwoods (Cockaponset State Forest)|Granite Road area|High Energy Area,Connecticut,https://www.mountainproject.com/area/106689215/high-energy-area,"[-72.7406, 41.2916]"
Geriatric Ward,CT Bouldering|Westwoods (Cockaponset State Forest)|Granite Road area|Geriatric Ward,Connecticut,https://www.mountainproject.com/area/107134864/geriatric-ward,"[-72.7364, 41.2903]"
Pay It No Mind Boulder,CT Bouldering|West Rock State Park|God's Country|Pay It No Mind Cluster|Pay It No Mind Boulder,Connecticut,https://www.mountainproject.com/area/114408234/pay-it-no-mind-boulder,"[-72.97715, 41.36254]"
Hater Love Boulder,CT Bouldering|West Rock State Park|God's Country|Pay It No Mind Cluster|Hater Love Boulder,Connecticut,https://www.mountainproject.com/area/114408292/hater-love-boulder,"[-72.97715, 41.36253]"
Corridor (Sheffield Wednesday),CT Bouldering|Will Warren's Den|Corridor (Sheffield Wednesday),Connecticut,https://www.mountainproject.com/area/113782013/corridor-sheffield-wednesday,"[-72.83248, 41.69891]"
Sessions Woods WMA,CT Bouldering|Sessions Woods WMA,Connecticut,https://www.mountainproject.com/area/118679829/sessions-woods-wma,"[-72.97426, 41.72547]"
Wide crack,"CT Bouldering|West Rock State Park|God's Country|Good, Clean Fun Area|Wide crack",Connecticut,https://www.mountainproject.com/area/111521968/wide-crack,"[-72.97558, 41.36169]"
Sunny Slab,"CT Bouldering|West Rock State Park|God's Country|Good, Clean Fun Area|Sunny Slab",Connecticut,https://www.mountainproject.com/area/114368582/sunny-slab,"[-72.97646, 41.36178]"
Imprudent Boulder,"CT Bouldering|West Rock State Park|God's Country|Good, Clean Fun Area|Imprudent Boulder",Connecticut,https://www.mountainproject.com/area/111521825/imprudent-boulder,"[-72.97644, 41.36105]"
Low tide wall,CT Bouldering|Westwoods (Cockaponset State Forest)|Bunny Boulder Area|Low tide wall,Connecticut,https://www.mountainproject.com/area/111653247/low-tide-wall,"[-72.73707, 41.26342]"
Llama’s Skull,CT Bouldering|Westwoods (Cockaponset State Forest)|Bunny Boulder Area|Llama’s Skull,Connecticut,https://www.mountainproject.com/area/114213467/llamas-skull,"[-72.73749, 41.26563]"
Crouching Spider Boulder,CT Bouldering|Will Warren's Den|Lower Walls|Crouching Spider Boulder,Connecticut,https://www.mountainproject.com/area/113793133/crouching-spider-boulder,"[-72.83247, 41.69891]"
Cave Wall,CT Bouldering|Will Warren's Den|Lower Walls|Cave Wall,Connecticut,https://www.mountainproject.com/area/113793138/cave-wall,"[-72.83247, 41.69892]"
"Bunny Boulder, The","CT Bouldering|Westwoods (Cockaponset State Forest)|Bunny Boulder Area|Bunny Boulder, The",Connecticut,https://www.mountainproject.com/area/110413575/the-bunny-boulder,"[-72.73668, 41.26969]"
100 year boulder,"CT Bouldering|West Rock State Park|God's Country|Good, Clean Fun Area|100 year boulder",Connecticut,https://www.mountainproject.com/area/111542555/100-year-boulder,"[-72.97637, 41.36194]"
Kung Fu Right,CT Bouldering|Will Warren's Den|Kung Fu Cave|Kung Fu Right,Connecticut,https://www.mountainproject.com/area/113792778/kung-fu-right,"[-72.83247, 41.69892]"
Kung Fu Prow (Drunken Master),CT Bouldering|Will Warren's Den|Kung Fu Cave|Kung Fu Prow (Drunken Master),Connecticut,https://www.mountainproject.com/area/113792774/kung-fu-prow-drunken-master,"[-72.83247, 41.69892]"
Kung Fu Left,CT Bouldering|Will Warren's Den|Kung Fu Cave|Kung Fu Left,Connecticut,https://www.mountainproject.com/area/113792764/kung-fu-left,"[-72.83247, 41.69891]"
Samp Mortar,CT Bouldering|Samp Mortar / Mt. Laurel|Samp Mortar,Connecticut,https://www.mountainproject.com/area/107399460/samp-mortar,"[-73.26312, 41.18754]"
Red Trail South,CT Bouldering|Roosevelt Forest|Red Trail South,Connecticut,https://www.mountainproject.com/area/121679489/red-trail-south,"[-73.13333, 41.24683]"
Peninsula East Side,CT Bouldering|Rocky Neck|Peninsula East Side,Connecticut,https://www.mountainproject.com/area/120959322/peninsula-east-side,"[-72.24646, 41.29765]"
Molten Salt,CT Bouldering|Rocky Neck|Molten Salt,Connecticut,https://www.mountainproject.com/area/121010587/molten-salt,"[-72.24636, 41.29763]"
